75	3	1.0
75	110	4.0
75	160	2.0
75	163	4.0
75	165	4.5
75	296	5.0
75	353	3.5
75	420	2.0
75	589	4.0
75	653	3.0
75	832	4.5
75	920	0.5
75	996	4.5
75	1036	4.0
75	1127	3.5
75	1304	2.5
75	1370	4.0
75	1374	4.0
75	1485	4.0
75	1527	4.5
75	1917	2.5
75	2011	2.0
75	2054	1.5
75	2490	4.0
75	2571	4.5
75	2640	3.0
75	2688	3.0
75	2700	4.5
75	2762	3.5
75	2959	4.5
75	3258	1.5
75	3793	3.0
75	3994	3.5
75	5107	3.0
75	5952	3.5
75	6213	4.0
75	6225	0.5
75	6333	4.0
75	7000	3.5
75	7007	4.5
75	7153	3.5
75	32029	4.5
75	32587	5.0
75	33437	3.5
75	45431	3.5
75	45722	4.5
78	17	4.0
78	29	4.5
78	41	4.5
78	101	4.5
78	110	3.5
78	111	4.0
78	150	4.0
78	198	2.5
78	235	4.0
78	260	4.0
78	296	4.5
78	305	2.0
78	318	4.0
78	327	3.5
78	356	3.5
78	357	5.0
78	468	3.5
78	480	2.5
78	497	4.0
78	509	4.5
78	515	4.0
78	527	4.0
78	541	4.5
78	589	4.0
78	590	4.0
78	608	4.5
78	728	4.0
78	760	4.0
78	778	5.0
78	780	2.5
78	858	4.0
78	903	4.0
78	904	4.5
78	908	4.5
78	912	4.5
78	920	4.5
78	923	4.0
78	969	4.5
78	994	4.5
78	1019	3.5
78	1041	4.5
78	1060	4.5
78	1077	5.0
78	1079	4.5
78	1080	5.0
78	1084	4.0
78	1089	4.5
78	1090	4.0
78	1095	5.0
78	1129	3.0
78	1136	4.5
78	1150	4.5
78	1178	5.0
78	1179	4.0
78	1183	3.5
78	1186	4.0
78	1197	4.5
78	1199	5.0
78	1200	4.0
78	1201	4.0
78	1202	5.0
78	1207	4.5
78	1208	4.5
78	1210	2.5
78	1219	4.5
78	1225	4.5
78	1230	4.0
78	1234	4.0
78	1238	4.0
78	1240	4.5
78	1243	5.0
78	1244	4.5
78	1245	4.5
78	1246	4.0
78	1247	4.5
78	1252	5.0
78	1253	4.5
78	1258	4.5
78	1259	4.5
78	1265	4.5
78	1267	4.5
78	1270	4.0
78	1272	4.5
78	1273	4.5
78	1276	4.5
78	1278	5.0
78	1279	3.5
78	1285	4.0
78	1287	4.0
78	1288	5.0
78	1292	4.5
78	1295	4.0
78	1296	4.5
78	1299	4.5
78	1301	4.5
78	1304	4.5
78	1306	3.0
78	1307	4.0
78	1320	2.5
78	1343	3.5
78	1346	4.0
78	1358	4.5
78	1374	3.0
78	1387	4.5
78	1391	4.5
78	1394	3.5
78	1449	5.0
78	1500	4.5
78	1573	2.0
78	1617	3.5
78	1629	4.5
78	1641	4.5
78	1653	4.0
78	1663	4.0
78	1674	4.5
78	1676	2.5
78	1682	4.0
